,sepal_length,sepal_width,petal_length,petal_width,species
0,6.1,2.8,4.7,1.2,versicolor
1,5.7,3.8,1.7,0.3,setosa
2,7.7,2.6,6.9,2.3,virginica
3,6.0,2.9,4.5,1.5,versicolor
4,6.8,2.8,4.8,1.4,versicolor
5,5.4,3.4,1.5,0.4,setosa
6,5.6,2.9,3.6,1.3,versicolor
7,6.9,3.1,5.1,2.3,virginica
8,6.2,2.2,4.5,1.5,versicolor
9,5.8,2.7,3.9,1.2,versicolor
10,6.5,3.2,5.1,2.0,virginica
11,4.8,3.0,1.4,0.1,setosa
12,5.5,3.5,1.3,0.2,setosa
13,4.9,3.1,1.5,0.1,setosa
14,5.1,3.8,1.5,0.3,setosa
15,6.3,3.3,4.7,1.6,versicolor
16,6.5,3.0,5.8,2.2,virginica
17,5.6,2.5,3.9,1.1,versicolor
18,5.7,2.8,4.5,1.3,versicolor
19,6.4,2.8,5.6,2.2,virginica
20,4.7,3.2,1.6,0.2,setosa
21,6.1,3.0,4.9,1.8,virginica
22,5.0,3.4,1.6,0.4,setosa
23,6.4,2.8,5.6,2.1,virginica
24,7.9,3.8,6.4,2.0,virginica
25,6.7,3.0,5.2,2.3,virginica
26,6.7,2.5,5.8,1.8,virginica
27,6.8,3.2,5.9,2.3,virginica
28,4.8,3.0,1.4,0.3,setosa
29,4.8,3.1,1.6,0.2,setosa
30,4.6,3.6,1.0,0.2,setosa
31,5.7,4.4,1.5,0.4,setosa
32,6.7,3.1,4.4,1.4,versicolor
33,4.8,3.4,1.6,0.2,setosa
34,4.4,3.2,1.3,0.2,setosa
35,6.3,2.5,5.0,1.9,virginica
36,6.4,3.2,4.5,1.5,versicolor
37,5.2,3.5,1.5,0.2,setosa
38,5.0,3.6,1.4,0.2,setosa
39,5.2,4.1,1.5,0.1,setosa
40,5.8,2.7,5.1,1.9,virginica
41,6.0,3.4,4.5,1.6,versicolor
42,6.7,3.1,4.7,1.5,versicolor
43,5.4,3.9,1.3,0.4,setosa
44,5.4,3.7,1.5,0.2,setosa
45,5.5,2.4,3.7,1.0,versicolor
46,6.3,2.8,5.1,1.5,virginica
47,6.4,3.1,5.5,1.8,virginica
48,6.6,3.0,4.4,1.4,versicolor
49,7.2,3.6,6.1,2.5,virginica
50,5.7,2.9,4.2,1.3,versicolor
51,7.6,3.0,6.6,2.1,virginica
52,5.6,3.0,4.5,1.5,versicolor
53,5.1,3.5,1.4,0.2,setosa
54,7.7,2.8,6.7,2.0,virginica
55,5.8,2.7,4.1,1.0,versicolor
56,5.2,3.4,1.4,0.2,setosa
57,5.0,3.5,1.3,0.3,setosa
58,5.1,3.8,1.9,0.4,setosa
59,5.0,2.0,3.5,1.0,versicolor
60,6.3,2.7,4.9,1.8,virginica
61,4.8,3.4,1.9,0.2,setosa
62,5.0,3.0,1.6,0.2,setosa
63,5.1,3.3,1.7,0.5,setosa
64,5.6,2.7,4.2,1.3,versicolor
65,5.1,3.4,1.5,0.2,setosa
66,5.7,3.0,4.2,1.2,versicolor
67,7.7,3.8,6.7,2.2,virginica
68,4.6,3.2,1.4,0.2,setosa
69,6.2,2.9,4.3,1.3,versicolor
70,5.7,2.5,5.0,2.0,virginica
71,5.5,4.2,1.4,0.2,setosa
72,6.0,3.0,4.8,1.8,virginica
73,5.8,2.7,5.1,1.9,virginica
74,6.0,2.2,4.0,1.0,versicolor
